email,name,cardnum
t.foss@celsi.us,Tyler Foss,1160411568779029
a.robertson@hoi.st,August Robertson,8805135809315096
e.harmon@v8.energy,Elijah Harmon,9395908673365967
p.mikoud@nos.com,Paul Mikoud,0138078602710978
d.bellucci@5hour.energy,David Bellucci,1019714613868064
j.rose@nos.com,Jonathan Rose,3013651284308654
m.rusiniak@5hour.energy,Miles Rusiniak,5927328138673036
e.tan@powera.de,Evan Tan,9209168105793798
m.fosam@redbu.llc,Meghan Fosam,3270471509977029
j.odonnell@ba.ng,Johnathan O'Donnell,
j.heiman@hoi.st,Joshua Heiman,6352560963673547
t.syrup@rei.gn,Tyrese Syrup,0379045797537925
j.raftery@redbu.llc,Jarod Raftery,1593382707551052
m.rowe@hoi.st,Michael Rowe,
m.danquah@redbu.llc,Matthew Danquah,6690418842726605
j.parrott@rei.gn,James Parrott,5778135906500608
i.riemerspeters@5hour.energy,Israel Riemerspeters,8632049396937585
k.jaksha@monst.er,Kaitlyn Jaksha,0209457553130605
r.stlouis@hoi.st,Rebecca St. Louis,7001454299136323
b.roberts@5hour.energy,Bonifacio Roberts,9280676773330607
j.kokerthomas@redbu.llc,Jasmyn Koker-Thomas,9228101221754883
c.falk@rei.gn,Christian Falk,9366903638982077
t.mockus@nos.com,Timothy Mockus,7502396828277336
j.bender@monst.er,Jason Bender,0050519332354425
b.martin@ba.ng,Bonvie Martin,8876614830134680
j.wilson@redbu.llc,Justus Wilson,0845202482969061
e.wang@celsi.us,Emily Wang,6501563593373163
a.haynes@monst.er,Anton Haynes,4071522351510597
n.schwarting@hoi.st,Nana Schwarting,8259360661120427
t.liu@rei.gn,Tyler Liu,
a.quiambao@rip.it,August Quiambao,5786536131191540
